"Facility","Last Inspection Date","Score","Description","Address","City","Zip","Phone"
"1016 WESTERN AVE APTS",04/18/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1016 WESTERN AVE","GLENDALE","91201",""
"MAPLE APTS",11/30/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","711 E MAPLE ST","GLENDALE","91205","818-507-1969"
"1028 WESTERN AVE APTS",04/30/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1028 WESTERN AVE","GLENDALE","91201","818-507-8535"
"125 W PALMER AVE APTS",11/01/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","125 W PALMER AVE","GLENDALE","91204","818-247-9693"
"209 E CHESTNUT ST APTS",09/25/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","209 E CHESTNUT ST","GLENDALE","91205",""
"323 E LOMITA AVE APTS",09/11/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","323 E LOMITA AVE","GLENDALE","91205",""
"203 MAPLE APTS",03/01/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","203 W MAPLE ST","GLENDALE","91204",""
"312 EL BONITO AVE APTS",04/04/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","312 EL BONITO AVE","GLENDALE","91204",""
"123 E WINDSOR RD APTS",10/16/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","123 E WINDSOR RD","GLENDALE","91205",""
"1725 E CHEVY CHASE DR APTS",12/13/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1725 E CHEVY CHASE DR","GLENDALE","91206",""
"302 N SINCLAIR AVE APTS",01/03/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","302 N SINCLAIR AVE","GLENDALE","91206","818-249-7247"
"1148 ROSEDALE AVE APTS",11/07/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1148 ROSEDALE AVE","GLENDALE","91201","818-864-6014"
"1045 ROSEDALE AVE APTS",11/30/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1045 ROSEDALE AVE","GLENDALE","91201",""
"CASA VERDUGO VILLA",07/19/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1001 SAN RAFAEL AVE","GLENDALE","91202","818-207-9847"
"1017 LINDEN AVE APTS",03/04/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1017 LINDEN AVE","GLENDALE","91201",""
"1022 IRVING AVE APTS",02/13/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1022 IRVING AVE","GLENDALE","91201","818-458-3435"
"1767 WABASSO WY APTS",12/06/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1767 WABASSO WY","GLENDALE","91208",""
"2108 N VERDUGO RD APTS",01/30/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","2108 N VERDUGO RD","GLENDALE","91208","818-981-1802"
"KENWOOD COURT",07/02/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","340 N KENWOOD ST","GLENDALE","91206","818-247-1416"
"1566 N VERDUGO RD APTS",09/30/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1566 N VERDUGO RD","GLENDALE","91206",""
"323 N HOWARD ST APTS",08/15/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","323 N HOWARD ST","GLENDALE","91206",""
"221 W DRYDEN ST APTS",05/09/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","221 W DRYDEN ST","GLENDALE","91202","818-246-7221"
"227 JUSTIN AVE APTS",09/04/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","227 JUSTIN AVE","GLENDALE","91201","818-241-4239"
"PRADO APARTMENTS",06/21/2019,,"MULTIPLE FAMILY DWELLING (101 + ) UNITS","1035 N CENTRAL AVE","GLENDALE","91202","818-956-0084"
"1059 WESTERN AVE APTS",05/03/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1059 WESTERN AVE","GLENDALE","91201","818-845-9816"
"1012 S ADAMS ST APTS",12/17/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1012 S ADAMS ST ","GLENDALE","91205",""
"1150 N LOUISE ST APTS",07/06/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1150 N LOUISE ST","GLENDALE","91207","818-952-5310"
"1157 N MARYLAND AVE APTS",02/28/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1157 N MARYLAND AVE","GLENDALE","91207",""
"1063 JUSTIN AVE APTS",10/02/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1063 JUSTIN AVE ","GLENDALE","91201","818-247-0274"
"600 N ISABEL ST APTS",02/13/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","600 N ISABEL ST","GLENDALE","91206","818-249-7197"
"1708 E GLENOAKS BLVD APTS",08/28/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1708 E GLENOAKS BLVD","GLENDALE","91206","818-956-0526"
"457 W DRYDEN ST APTS",01/24/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","457 W DRYDEN ST","GLENDALE","91202","818-242-2152"
"330 WESTERN AVE APTS",02/01/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","330 WESTERN AVE","GLENDALE","91201",""
"1219 N COLUMBUS AVE APTS",09/17/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","1219 N COLUMBUS AVE","GLENDALE","91202","818-500-9325"
"AZTEC HOUSE SWIMMING POOL",01/30/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","303 W GLENOAKS BLVD","GLENDALE","91202","818-240-1780"
"AZTEC HOUSE",08/15/2019,,"MULTIPLE FAMILY DWELLING (51-100) UNITS","303 W GLENOAKS BLVD","GLENDALE","91202","818-240-1780"
"FAIRVIEW TOWNHOUSES",06/04/2019,,"CONDO (11-20) UNITS","410 E FAIRVIEW AVE","GLENDALE","91207","818-919-9939"
"211 E FAIRVIEW AVE APTS",06/04/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","211 E FAIRVIEW AVE","GLENDALE","91207","818-957-2151"
"PARKVIEW OF GLENDALE",02/08/2019,,"BOARDING HOME (51 + ) PERSONS","426 PIEDMONT AVE","GLENDALE","91206-3448","818-246-7457"
"1377 E ACACIA AVE APTS SWIMMING POOL",01/11/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1377 E ACACIA AVE","GLENDALE","91205",""
"1377 E ACACIA AVE APTS",01/11/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1377 E ACACIA AVE","GLENDALE","91205",""
"238 N VERDUGO RD APTS",08/01/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","238 N VERDUGO RD","GLENDALE","91206","818-889-0974"
"362 W PALMER AVE APTS",03/22/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","362 W PALMER AVE","GLENDALE","91204","818-502-2602"
"1006 E LEXINGTON DR APTS",02/22/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1006 E LEXINGTON DR","GLENDALE","91206","818-246-1050"
"135 MAYNARD ST APTS",02/12/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","135 MAYNARD ST","GLENDALE","91205",""
"1128 E LEXINGTON DR APTS",07/19/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1128 E LEXINGTON DR","GLENDALE","91206",""
"416 LINCOLN AVE APTS",12/21/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","416 LINCOLN AVE","GLENDALE","91205",""
"1438 DIXON ST APTS",11/20/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1438 DIXON ST","GLENDALE","91205",""
"1444 DIXON ST APTS",11/20/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1444 DIXON ST","GLENDALE","91205",""
"222 N JACKSON ST APTS",12/21/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","222 N JACKSON ST","GLENDALE","91206",""
"404 N JACKSON ST APTS",02/05/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","404 N JACKSON ST","GLENDALE","91206",""
"1126 E DORAN ST APTS",11/26/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1126 E DORAN ST","GLENDALE","91206","213-243-4246"
"451 IVY ST APTS",07/18/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","451 IVY ST","GLENDALE","91204",""
"1124 E DORAN ST APTS",11/26/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1124 E DORAN ST","GLENDALE","91206","818-240-7200"
"365 W MILFORD ST APTS",01/16/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","365 W MILFORD ST","GLENDALE","91203",""
"361 W MILFORD ST APTS",01/16/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","361 W MILFORD ST","GLENDALE","91203",""
"343 W LOMITA AVE APTS",03/22/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","343 W LOMITA AVE","GLENDALE","91204",""
"PALM DELUXE",02/25/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1145 IRVING AVE","GLENDALE","91201","818-845-0382"
"1066 SPAZIER AVE APTS",11/05/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1066 SPAZIER AVE","GLENDALE","91201","818-953-2857"
"1164 ALLEN AVE APTS",09/13/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1164 ALLEN AVE","GLENDALE","91201","818-549-1022"
"CHEVY CHASE COUNTRY CLUB - SWIMMING POOL",07/16/2018,,"PUBLIC SWIMMING POOL MODERATE RISK 1","3067 E CHEVY CHASE DR ","GLENDALE","91206","818-246-5566"
"CHEVY CHASE COUNTRY CLUB - SPA",01/09/2019,,"PUBLIC SWIMMING POOL MODERATE RISK ADDL","3067 E CHEVY CHASE DR ","GLENDALE","91206","818-246-5566"
"358 W PALMER AVE APTS",05/01/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","358 W PALMER AVE","GLENDALE","91204","818-351-0364"
"1443 ROCK GLEN AVE APTS",02/21/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1443 ROCK GLEN AVE","GLENDALE","91205",""
"469 W WINDSOR RD APTS",02/21/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","469 W WINDSOR RD","GLENDALE","91204",""
"TOWNHORSE APARTMENTS SWIMMING POOL",06/24/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","150 ALLEN AVE","GLENDALE","91201",""
"TOWNHORSE APARTMENTS",06/24/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","150 ALLEN AVE","GLENDALE","91201",""
"ALTANA",08/30/2018,,"MULTIPLE FAMILY DWELLING (101 + ) UNITS","540 N CENTRAL AVE","GLENDALE","91203",""
"ALTANA - SWIMMING POOL",08/30/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","540 N CENTRAL AVE","GLENDALE","91203",""
"ALTANA - SPA",08/30/2018,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","540 N CENTRAL AVE","GLENDALE","91203",""
"1809 OAKWOOD AVE APTS",04/23/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1809 OAKWOOD AVE","GLENDALE","91208","818-242-4536"
"1206 N BRAND BLVD APTS",10/18/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1206 N BRAND BLVD","GLENDALE","91206","818-762-0675"
"GLEN VERDUGO SWIMMING POOL",01/28/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","135 N VERDUGO RD","GLENDALE","91206","818-241-8770"
"GLEN VERDUGO",01/28/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","135 N VERDUGO RD","GLENDALE","91206","818-241-8770"
"505 E PALMER AVE APTS",01/03/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","505 E PALMER AVE","GLENDALE","91205","818-243-3628"
"719 E PALMER AVE APTS",07/02/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","719 E PALMER AVE","GLENDALE","91205",""
"1472 E CHEVY CHASE DR APTS",04/01/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1472 E CHEVY CHASE DR","GLENDALE","91206","626-284-4926"
"1480 E CHEVY CHASE DR APTS",04/01/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1480 E CHEVY CHASE DR","GLENDALE","91206","626-284-4926"
"1476 E CHAVY CHASE DR APTS",04/01/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1476 E CHAVY CHASE DR","GLENDALE","91206",""
"421 N KENWOOD ST APTS",07/19/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","421 N KENWOOD ST","GLENDALE","91206","213-663-3188"
"704 SOUTH ST APTS",12/27/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","704 SOUTH ST","GLENDALE","91202",""
"1905 VASSAR ST APTS",01/18/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1905 VASSAR ST","GLENDALE","91205",""
"1606 ROCK GLEN AVE APTS",05/24/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1606 ROCK GLEN AVE","GLENDALE","91205",""
"2050 5TH ST APTS",07/25/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","2050 5TH ST","GLENDALE","91201",""
"1010 E ACACIA AVE APTS",03/11/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","1010 E ACACIA AVE ","GLENDALE","91205","818-246-5196"
"EDEN ROCK SWIMMING POOL",04/12/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1516 ROCK GLEN AVE","GLENDALE","91205",""
"EDEN ROCK",04/12/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","1516 ROCK GLEN AVE","GLENDALE","91205",""
"1046 IRVING AVE APTS",02/14/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1046 IRVING AVE","GLENDALE","91201",""
"EL DORADO APTS",10/02/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","505 N ADAMS ST ","GLENDALE","91206","818-552-2607"
"JUSTIN TOWNHOMES",02/28/2019,,"CONDO (5-10) UNITS","519 JUSTIN AVE","GLENDALE","91201","877-250-5858"
"629 E ELK AVE APTS",03/08/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","629 E ELK AVE","GLENDALE","91205",""
"1131 N BRAND BLVD APTS",10/18/2018,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","1131 N BRAND BLVD","GLENDALE","91202","818-240-2101"
"1134 E ELK AVE APTS",05/10/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1134 E ELK AVE","GLENDALE","91205",""
"1138 E ELK AVE APTS",05/24/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1138 E ELK AVE","GLENDALE","91205",""
"330 CAMERON PL APTS",10/30/2018,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","330 CAMERON PL","GLENDALE","91207","818-956-6047"
"610 CHESTER ST APTS",11/01/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","610 CHESTER ST","GLENDALE","91203",""
"909 E CHEVY CHASE DR APTS",02/04/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","909 E CHEVY CHASE DR","GLENDALE","91205",""
"334 CAMERON PL APTS",02/21/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","334 CAMERON PL","GLENDALE","91207","818-790-9338"
"533 CHESTER ST APTS",11/01/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","533 CHESTER ST","GLENDALE","91203",""
"131 BELMONT APTS",09/25/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","131 S BELMONT ST","GLENDALE","91205",""
"409 E HARVARD ST APTS",01/25/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","409 E HARVARD ST","GLENDALE","91205","818-553-1500"
"CHEVY CHASE COURT",09/19/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","113 N CHEVY CHASE DR","GLENDALE","91206",""
"908 E HARVARD ST APTS",05/03/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","908 E HARVARD ST","GLENDALE","91205",""
"1155 LINDEN AVE APTS",05/01/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1155 LINDEN AVE","GLENDALE","91201",""
"1159 LINDEN AVE APTS",04/15/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1159 LINDEN AVE","GLENDALE","91201",""
"1135 LINDEN AVE APTS",03/28/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1135 LINDEN AVE","GLENDALE","91201",""
"530 N MARYLAND AVE APTS",12/20/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","530 N MARYLAND AVE","GLENDALE","91206","818-790-6111"
"617 N COLUMBUS AVE APTS",05/28/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","617 N COLUMBUS AVE","GLENDALE","91203",""
"231 W DRYDEN ST APTS",04/23/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","231 W DRYDEN ST","GLENDALE","91202",""
"416 ON BROADWAY APARTMENTS",09/25/2018,,"MULTIPLE FAMILY DWELLING (101 + ) UNITS","412 E BROADWAY","GLENDALE","91205","818-265-1700"
"118 N ADAMS ST APTS",08/23/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","118 N ADAMS ST","GLENDALE","91206",""
"508 HILL DR APTS",05/15/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","508 HILL DR","GLENDALE","91206",""
"1317 E WILSON AVE APTS",03/29/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1317 E WILSON AVE","GLENDALE","91206","818-240-1939"
"810 NORTON AVE APTS",04/04/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","810 NORTON AVE","GLENDALE","91202",""
"GLEN ROCK APTS",07/16/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1427 ROCK GLEN AVE","GLENDALE","91205",""
"510 N EVERETT ST APTS",06/27/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","510 N EVERETT ST","GLENDALE","91206",""
"530 PALM DR APTS",08/23/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","530 PALM DR","GLENDALE","91202",""
"1121 E PALMER AVE APTS",02/06/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1121 E PALMER AVE","GLENDALE","91205",""
"315 N GENEVA ST APTS",10/01/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","315 N GENEVA ST","GLENDALE","91206",""
"309 N GENEVA ST APTS",09/24/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","309 N GENEVA ST","GLENDALE","91206",""
"1426 E MAPLE ST APTS",02/06/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1426 E MAPLE ST","GLENDALE","91205",""
"212 W ELK AVE APTS",04/19/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","212 W ELK AVE","GLENDALE","91204",""
"VERDUGO PLAZA APT SWIMMING POOL",06/07/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","424 S VERDUGO RD","GLENDALE","91205",""
"VERDUGO PLAZA APT SWIMMING POOL",06/07/2019,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","424 S VERDUGO RD","GLENDALE","91205",""
"VERDUGO PLAZA APT",06/07/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","424 S VERDUGO RD","GLENDALE","91205",""
"420 W LEXINGTON DR APTS",10/16/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","420 W LEXINGTON DR","GLENDALE","91203",""
"2314 GLENDALE BLVD APTS",09/20/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","2314 GLENDALE BLVD","LOS ANGELES","90039",""
"427 S VERDUGO RD APTS",07/30/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","427 S VERDUGO RD","GLENDALE","91205",""
"1014 SPAZIER AVE APTS",10/25/2018,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","1014 SPAZIER AVE","GLENDALE","91201","323-848-7260"
"939 E LEXINGTON DR APTS",02/22/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","939 E LEXINGTON DR","GLENDALE","91206","818-246-1050"
"924 ESTELLE AVE APTS",05/09/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","924 ESTELLE AVE","GLENDALE","91202",""
"1011 E PALMER AVE APTS SWIMMING POOL",05/24/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1011 E PALMER AVE","GLENDALE","91205",""
"1011 E PALMER AVE APTS",01/18/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","1011 E PALMER AVE","GLENDALE","91205",""
"454 W ELK AVE APTS",06/14/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","454 W ELK AVE","GLENDALE","91204","323-663-3188"
"1016 RALEIGH ST APTS",05/17/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1016 RALEIGH ST","GLENDALE","91205",""
"1927 GARDENA AVE APTS",05/07/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1927 GARDENA AVE","GLENDALE","91204","818-883-7000"
"THE RANCHO APTS",08/01/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","143 N VERDUGO RD","GLENDALE","91206","323-259-8792"
"821 MARIPOSA ST APTS",01/18/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","821 MARIPOSA ST","GLENDALE","91205","818-241-8231"
"1831 RIVERSIDE DR APTS SWIMMING POOL",06/26/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1831 RIVERSIDE DR","GLENDALE","91201",""
"1831 RIVERSIDE DR APTS",06/26/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1831 RIVERSIDE DR","GLENDALE","91201",""
"WINDSOR REAL SWIMMING POOL",04/25/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1377 E WINDSOR RD","GLENDALE","91205",""
"WINDSOR REAL",04/25/2019,,"MULTIPLE FAMILY DWELLING (51-100) UNITS","1377 E WINDSOR RD","GLENDALE","91205",""
"615 RALEIGH ST APTS",12/07/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","615 RALEIGH ST","GLENDALE","91205",""
"1134 STANLEY AVE APTS",03/08/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1134 STANLEY AVE","GLENDALE","91206","323-473-0527"
"1220 STANLEY AVE APTS",03/15/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1220 STANLEY AVE","GLENDALE","91206",""
"1221 STANLEY AVE APTS",03/15/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1221 STANLEY AVE","GLENDALE","91206",""
"1218 STANLEY AVE APTS",03/15/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1218 STANLEY AVE","GLENDALE","91206",""
"GLENWOOD APARTMENTS",09/13/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1044 WINCHESTER AVE","GLENDALE","91201","818-502-8687"
"614 W CALIFORNIA AVE APTS",09/23/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","614 W CALIFORNIA AVE","GLENDALE","91203","818-452-1711"
"1306 N COLUMBUS AVE APTS SWIMMING POOL",08/27/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1306 N COLUMBUS AVE","GLENDALE","91202","818-679-7545"
"1306 N COLUMBUS AVE APTS",08/27/2019,,"MULTIPLE FAMILY DWELLING (51-100) UNITS","1306 N COLUMBUS AVE","GLENDALE","91202","818-679-7545"
"1448 STANLEY AVE APTS",04/05/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1448 STANLEY AVE","GLENDALE","91206",""
"1017 WINCHESTER AVE APTS",08/14/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1017 WINCHESTER AVE","GLENDALE","91201","818-246-2045"
"GLEN ROCK APTS SWIMMING POOL",08/07/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1427 ROCK GLEN AVE","GLENDALE","91205",""
"THE SALVATION ARMY NANCY PAINTER HOUSE",09/10/2019,,"INTERIM HOUSING FACILITY (1-25) BEDS","609 CHESTER ST","GLENDALE","91203","818-246-5586"
"1138 WESTERN AVE APTS",07/31/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1138 WESTERN AVE","GLENDALE","91201",""
"209 W MAPLE ST APTS",08/21/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","209 W MAPLE ST","GLENDALE","91204","626-799-2211"
"THE HARRISON",08/13/2018,,"MULTIPLE FAMILY DWELLING (51-100) UNITS","318 W WILSON AVE","GLENDALE","91203","702-735-0155"
"THE HARRISON - SWIMMING POOL",08/13/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","318 W WILSON AVE","GLENDALE","91203","702-735-0155"
"THE HARRISON - SPA",08/13/2018,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","318 W WILSON AVE","GLENDALE","91203","702-735-0155"
"732 W GLENOAKS BLVD APTS",08/27/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","732 W GLENOAKS BLVD","GLENDALE","91202",""
"1025 E LOMITA AVE APTS",08/02/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1025 E LOMITA AVE","GLENDALE","91205",""
"1026 SAN RAFAEL AVE APTS",07/19/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1026 SAN RAFAEL AVE","GLENDALE","91202",""
"1012 SAN RAFAEL AVE APTS",07/19/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1012 SAN RAFAEL AVE","GLENDALE","91202","818-265-1205"
"1148 RAYMOND AVE APTS",09/14/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1148 RAYMOND AVE","GLENDALE","91201",""
"618 GLENWOOD RD APTS",09/18/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","618 GLENWOOD RD","GLENDALE","91202",""
"HYATT PLACE GLENDALE - POOL",03/14/2019,,"PUBLIC SWIMMING POOL MODERATE RISK 1","225 W WILSON","GLENDALE","91203","747-272-1710"
"1157 JUSTIN AVE APTS",03/13/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1157 JUSTIN AVE","GLENDALE","91201",""
"DRAINED SINCE PRE 2003",10/02/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","243 N ADAMS ST","GLENDALE","91206","310-260-9869"
"1107 BOYNTON ST APTS",10/12/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1107 BOYNTON ST","GLENDALE","91205",""
"406 E DRYDEN ST APTS",10/15/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","406 E DRYDEN ST","GLENDALE","91207","818-242-9377"
"200 E DRYDEN ST APTS",08/30/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","200 E DRYDEN ST","GLENDALE","91207",""
"400 STOCKER APTS",08/29/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","400 E STOCKER ST","GLENDALE","91207",""
"1025 MELROSE AVE APTS",01/30/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1025 MELROSE AVE","GLENDALE","91202","818-241-8770"
"425 ALLEN AVE APTS",11/08/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","425 ALLEN AVE","GLENDALE","91201",""
"1136 SPAZIER AVE APTS",11/15/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1136 SPAZIER AVE","GLENDALE","91201",""
